id mostra,depuradora,        MS2(CG/L),        N2(CG/L),        N1(CG/L),        Adenovirus humans(CG/L),        E(CG/L),        N1r(CG/L),        N2r(CG/L),        Control intern(CG/L),        TGEV(CG/L),        IP4(CG/L),        Mengovirus(CG/L),        Diana4(CG/L),        Control inTGEV(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual,
DBBL-2020-08-25,BORGES_BLANQUES_LES,450,450,21126,,450,,,,,,,,,,,,false,
DBBL-2020-08-31,BORGES_BLANQUES_LES,171.43,85788,106320,,,,,,,,,,,2060,0,Canvi metodològic,false,
DBBL-2020-09-07,BORGES_BLANQUES_LES,28217000,178.57,7955.6,,,1176.7,178.57,,,,,,,1697,0,,false,
DBBL-2020-09-14,BORGES_BLANQUES_LES,43491000,344.61,306.18,,,,,,,,,,,2259,0,,false,
DBBL-2020-09-21,BORGES_BLANQUES_LES,8306300,142.86,142.86,,,,,,,,,,,1837,0,,false,
DBBL-2020-09-28,BORGES_BLANQUES_LES,46336000,8668.6,1461.8,,,,,,,,,,,1494,0,,false,
DBBL-2020-10-05,BORGES_BLANQUES_LES,361220000,28295,144300,,,,,,,,,,,,,,false,
DBBL-2020-10-12,BORGES_BLANQUES_LES,73295000,321.85,16370,,,,,,,,,,,,,,false,
DBER-2020-07-06,BERGA,,,148.15,,148.15,,,,12334000,148.15,,,,0,0,,false,
DBER-2020-07-13,BERGA,,,148.15,,148.15,,,,148.15,148.15,,,,5870.03,50,,false,
DBER-2020-07-20,BERGA,,,1090.5,,148.15,,,,18779,148.15,,,,5948.86,0,,true,
DBER-2020-07-27,BERGA,,,148.15,,148.15,,,,132360,14574,,,,5225.27,0,,false,
DBER-2020-08-03,BERGA,,,79013,,,,,,14023,7381.8,,,,5145.21,0,,false,
DBER-2020-08-10,BERGA,,,148.15,,,,,,21303,148.15,,,,4451.46,0,,false,
DBER-2020-08-17,BERGA,,,148.15,,,,,,16338,5073.7,,,,4820.26,0,,false,
DBER-2020-08-24,BERGA,,,151490,,,,,,1344100,531010,,,,4952.6,0,Canvi metodològic,false,
DBER-2020-08-31,BERGA,,,29477,,,,,,1386100,23114,,,,6589.89,0,,false,
DBER-2020-09-07,BERGA,,,478040,,,,,,1664100,269490,,,,5305.65,0,,false,
