id mostra,depuradora,        MS2(CG/L),        N2(CG/L),        N1(CG/L),        Adenovirus humans(CG/L),        E(CG/L),        N1r(CG/L),        N2r(CG/L),        Control intern(CG/L),        TGEV(CG/L),        IP4(CG/L),        Mengovirus(CG/L),        Diana4(CG/L),        Control inTGEV(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual,
DMAN-2020-07-20,MANLLEU,36092,228.57,228.57,4156.2,,,,,,,,,,8226,0,,false,
DMAN-2020-07-28,MANLLEU,305420,246.43,1045.5,9399.9,,,,,,,,,,,,,false,
DMAN-2020-08-03,MANLLEU,103770000,321.43,321.43,1122.3,,,,,,,,,,8559,0,,false,
DMAN-2020-08-10,MANLLEU,22018000,1243.9,18341,4814,,,,,,,,,,5886,0,,false,
DMAN-2020-08-17,MANLLEU,34733000,26672,43228,321.43,,,,,,,,,,6268,0,,false,
DMAN-2020-08-24,MANLLEU,13522000,59817,204110,69496,,,,,,,,,,6091,0,,false,
DMAN-2020-08-31,MANLLEU,101820000,54895,212600,43552,,,,,,,,,,8317,0,,false,
DMAN-2020-09-07,MANLLEU,54302000,18937,54808,1900.5,,,,,,,,,,6304,0,,false,
DMAN-2020-09-14,MANLLEU,5506500,4963.4,7644.5,23047,,,,,,,,,,6407,0,,false,
DMAN-2020-09-21,MANLLEU,23398000,6344.8,16317,10902,,,,,,,,,,10578,22.4,,false,
DMAN-2020-09-28,MANLLEU,8655500,13135,24212,,,,,,,,,,,5649,0,,false,
DMAN-2020-10-05,MANLLEU,3045000,28534,24375,,,,,,,,,,,,,,false,
DMAN-2020-10-12,MANLLEU,5441800,27709,44064,27672,,,,,,,,,,,,,false,
DMAS-2020-07-06,MANRESA,3689500,,1454.8,49423,548.57,,,,,,,,,,,,false,
DMAS-2020-07-13,MANRESA,6155900,,894.9,568.54,400,,,,,,,,,,,,true,
DMAS-2020-07-20,MANRESA,67514,1645.6,328.57,18163,,,,,,,,,,,,,true,
DMAS-2020-07-28,MANRESA,53202,1478.1,235.71,1410.9,,,,,,,,,,,,,false,
DMAS-2020-08-03,MANRESA,287650000,281170,28893,166390,,,,,,,,,,,,,false,
DMAS-2020-08-10,MANRESA,8276800,1366.8,32898,199310,,,,,,,,,,,,,false,
DMAS-2020-08-17,MANRESA,59402000,14040,11433,811.49,,,,,,,,,,213440,0,,false,
DMAS-2020-08-24,MANRESA,10424000,11090,81448,26948,,,,,,,,,,21398,0,,false,
DMAS-2020-08-31,MANRESA,20098000,23528,44486,3400,,,,,,,,,,18410,0,,false,
DMAS-2020-09-07,MANRESA,15169000,5377.7,17967,1581,,,,,,,,,,24046,10.9,,false,
DMAS-2020-09-14,MANRESA,6179300,7687.8,15455,75910,,,,,,,,,,21883,0,,false,
DMAS-2020-09-21,MANRESA,21797000,11640,4695.8,14378,,,,,,,,,,23158,0,,false,
DMAS-2020-09-28,MANRESA,6684700,4571.3,9047.1,,,,,,,,,,,21105,0,,false,
DMAS-2020-10-05,MANRESA,3823800,303610,147230,,,,,,,,,,,21750,0,,false,
DMAS-2020-10-12,MANRESA,2300700,8429.6,41246,22756,,,,,,,,,,19982,0,,false,
DMAT-2020-07-06,MATARÓ,18932000,,2401,8742.2,952.38,,,,,,,,,28803,0,,false,
DMAT-2020-07-13,MATARÓ,3192600,,22319,8500.9,714.29,,,,,,,,,28091,2,,false,
DMAT-2020-07-20,MATARÓ,73684,6147.7,1911.9,77386,,,,,,,,,,26500,0,,false,
DMAT-2020-07-28,MATARÓ,180760,10366,5041.7,8374,,,,,,,,,,,,,false,
DMAT-2020-08-03,MATARÓ,78208000,538050,118950,204390,,,,,,,,,,28860,14,,false,
DMAT-2020-08-10,MATARÓ,20454000,5889.8,22858,11979,,,,,,,,,,21018,0,,false,
DMAT-2020-08-17,MATARÓ,11848000,35856,105720,10427,,,,,,,,,,21700,0,,false,
DMAT-2020-08-24,MATARÓ,12140000,61309,17571,54008,,,,,,,,,,22524,0,,false,
DMAT-2020-08-31,MATARÓ,29112000,60510,100740,2550.2,,,,,,,,,,23000,0,,false,
DMAT-2020-09-07,MATARÓ,16820000,2733.3,36892,5989,,,,,,,,,,25000,0,,false,
DMAT-2020-09-14,MATARÓ,25717000,7704.1,26184,119220,,,,,,,,,,25276,0,,false,
DMAT-2020-09-21,MATARÓ,28579000,16665,12767,30134,,,,,,,,,,25000,9.8,,false,
DMAT-2020-09-28,MATARÓ,1309800,1623.4,6915,,,,,,,,,,,23341,0,,false,
DMAT-2020-10-05,MATARÓ,1140800,29183,22662,,,,,,,,,,,25400,0,,false,
DMAT-2020-10-12,MATARÓ,751040,79762,96808,26940,,,,,,,,,,23169,0,,false,
DMDV-2020-07-13,MONTORNÈS_DEL_VALLÈS,,,2071,,148.15,,,,,148.15,148.15,148.15,,36382,0,,true,
DMDV-2020-07-27,MONTORNÈS_DEL_VALLÈS,,,148.15,,148.15,,,,50802,3428,,,,32959,0,,true,
DMDV-2020-08-10,MONTORNÈS_DEL_VALLÈS,,,3139.7,,,,,,16138,148.15,,,,26758,0,,false,
DMDV-2020-08-24,MONTORNÈS_DEL_VALLÈS,,,215470,,,,,,950680,78178,,,,29837,,Canvi metodològic,false,
DMDV-2020-09-07,MONTORNÈS_DEL_VALLÈS,,,214660,,,,,,2036800,48525,,,,43300,14.3,,false,
DMDV-2020-09-21,MONTORNÈS_DEL_VALLÈS,,,148650,,,,,,1863700,110180,,,,40355,2.9,,false,
DMDV-2020-10-05,MONTORNÈS_DEL_VALLÈS,,,1007100,,,,,,1922400,1216200,,,,30438,0,,false,
DMIR-2020-07-06,MONTCADA,,,100,,100,,,,,112.76,,,410560000,56558,0,,true,
DMIR-2020-07-13,MONTCADA,,,148.15,,148.15,,,,,210.79,148.15,148.15,,50771,0,,true,
DMIR-2020-07-20,MONTCADA,,,596.01,,148.15,,,,15970,148.15,,,,525020,0,,true,
DMIR-2020-07-27,MONTCADA,,,1918.7,,148.15,,,,48529,148.15,,,,51486,0,,false,
DMIR-2020-08-03,MONTCADA,,,148.15,,,,,,962.21,148.15,,,,59127,2.4,,false,
DMIR-2020-08-10,MONTCADA,,,148.15,,,,,,3744.7,2800.3,,,,42901,0,,false,
DMIR-2020-08-17,MONTCADA,,,148.15,,,,,,643.41,98219,,,,45759,0,,false,
DMIR-2020-08-24,MONTCADA,,,758090,,,,,,1651600,996750,,,,44148,0,Canvi metodològic,false,
DMIR-2020-08-31,MONTCADA,,,125260,,,,,,1824200,77337,,,,49795,0,,false,
DMIR-2020-09-07,MONTCADA,,,434520,,,,,,1457800,827750,,,,64695,9.2,,false,
DMIR-2020-09-14,MONTCADA,,,322690,,,,,,829060,79672,,,,51378,0,,false,
DMIR-2020-09-21,MONTCADA,,,188740,,,,,,1309100,110010,,,,55658,14.1,,false,
DMIR-2020-09-28,MONTCADA,,,192870,,,,,,914120,236340,,,,49198,0,,false,
DMIR-2020-10-05,MONTCADA,,,1942300,,,,,,1033300,314520,,,,54292,0,,false,
DMIR-2020-10-12,MONTCADA,,,629130,,,,,,1394500,254480,,,,51197,0,,false,
DMLN-2020-07-06,MÓRA_D'EBRE/MÓRA_LA_NOVA,17654000,,450,,450,,,,,,,,,1420.67,0,,false,
DMLN-2020-07-20,MÓRA_D'EBRE/MÓRA_LA_NOVA,299210000,,420,,420,,,,,,,,,1593,0,,false,
DMLN-2020-08-03,MÓRA_D'EBRE/MÓRA_LA_NOVA,54897000,480,480,,,,,,,,,,,1603,0,,false,
DMLN-2020-08-17,MÓRA_D'EBRE/MÓRA_LA_NOVA,,360,360,,360,,,125160000,,,,,,1743,0,,false,
DMLN-2020-08-31,MÓRA_D'EBRE/MÓRA_LA_NOVA,400,400,400,,,,,,,,,,,1630,0,,false,
DMLN-2020-09-14,MÓRA_D'EBRE/MÓRA_LA_NOVA,4641400,505.51,2097,,,,,,,,,,,,,,false,
DMLN-2020-09-28,MÓRA_D'EBRE/MÓRA_LA_NOVA,8593300,171.43,8762.7,,,,,,,,,,,,,,false,
DMLN-2020-10-12,MÓRA_D'EBRE/MÓRA_LA_NOVA,43742000,52624,51491,,,,,,,,,,,1584.18,0,,false,
DMOB-2020-07-13,MONTBLANC,16132000,,450,,450,,,,,,,,,1281,2,,false,
DMOB-2020-07-27,MONTBLANC,18610,,450,,450,,,,,,,,,1119,0,,false,
DMOB-2020-08-10,MONTBLANC,433610000,300,300,,,,,,,,,,,1164,0,,false,
DMOB-2020-08-25,MONTBLANC,450,450,450,,450,,,,,,,,,,,,false,
DMOB-2020-09-07,MONTBLANC,37154000,228.57,3958.4,,,228.57,228.57,,,,,,,1083,0.5,Canvi Metodològic,false,
DMOB-2020-09-21,MONTBLANC,5936500,142.86,142.86,,,,,,,,,,,964,14,,false,
DMOB-2020-10-05,MONTBLANC,62942000,4119,54753,,,,,,,,,,,941,0,,false,
DMOF-2020-07-06,MONTFERRER,158890000,,450,,450,,,,,,,,,,,,false,
DMOF-2020-07-13,MONTFERRER,109450000,,450,,450,,,,,,,,,,,,false,
DMOF-2020-07-20,MONTFERRER,243390000,,5129,,600,,,,,,,,,,,,false,
DMOF-2020-07-27,MONTFERRER,175640000,,450,,450,,,,,,,,,,,,false,
DMOF-2020-08-03,MONTFERRER,181720000,300,300,,,,,,,,,,,,,,false,
DMOF-2020-08-10,MONTFERRER,497800000,300,300,,,,,,,,,,,,,,false,
DMOF-2020-08-17,MONTFERRER,,300,11467,,23826,,,781070000,,,,,,3922,0,,false,
DMOF-2020-08-25,MONTFERRER,450,450,450,,450,,,,,,,,,,,,false,
DMOF-2020-08-31,MONTFERRER,300,300,1315.8,,,,,,,,,,,2910,0,,true,
DMOF-2020-09-07,MONTFERRER,15762000,22517,6621.7,,,8577,9345.9,,,,,,,,,Canvi Metodològic,false,
DMOF-2020-09-14,MONTFERRER,28011000,251.72,4092.8,,,,,,,,,,,3500,0,,false,
DMOF-2020-09-21,MONTFERRER,9090500,142.86,995.25,,,,,,,,,,,3910,0,,false,
DMOF-2020-09-28,MONTFERRER,6847000,171.43,861.66,,,,,,,,,,,4611,0,,false,
DMOF-2020-10-05,MONTFERRER,408650000,34235,90281,,,,,,,,,,,3640,0,,false,
DMOF-2020-10-12,MONTFERRER,36270000,29251,40824,,,,,,,,,,,0,0,,false,
DMRT-2020-07-06,MARTORELL,,,148.15,,148.15,,,,1846600,148.15,,,,8379,0,,false,
DMRT-2020-07-13,MARTORELL,,,148.15,,148.15,,,,,148.15,148.15,148.15,,7907,,,false,
DMRT-2020-07-20,MARTORELL,,,353.13,,148.15,,,,8243,458.32,,,,8532,0,,false,
DMRT-2020-07-27,MARTORELL,,,412.83,,148.15,,,,12121,1280.3,,,,7738,0,,false,
DMRT-2020-08-03,MARTORELL,,,2873.1,,,,,,20888,148.15,,,,7982,0,Valor Puntual,false,
DMRT-2020-08-10,MARTORELL,,,5838.3,,,,,,2024.4,531.54,,,,6716,0,,false,
DMRT-2020-08-17,MARTORELL,,,15558,,,,,,1413.5,98219,,,,6998,,,false,
DMRT-2020-08-24,MARTORELL,,,2009800,,,,,,316710,5127200,,,,6681,0,Canvi metodològic,false,
DMRT-2020-08-31,MARTORELL,,,128530,,,,,,2318600,492980,,,,7295,0,,false,
DMRT-2020-09-07,MARTORELL,,,344510,,,,,,1804700,249730,,,,8967,9,,false,
DMRT-2020-09-14,MARTORELL,,,85255,,,,,,1142000,12575,,,,7790,0,,false,
DMRT-2020-09-21,MARTORELL,,,443860,,,,,,888990,136400,,,,8534,2,,false,
DMRT-2020-09-28,MARTORELL,,,115360,,,,,,1745300,52261,,,,7522,0,,false,
DMRT-2020-10-05,MARTORELL,,,2954000,,,,,,1701700,756240,,,,7459,0,,false,
DMRT-2020-10-12,MARTORELL,,,1822200,,,,,,2377100,257300,,,,7018,0,,false,
DOLO-2020-07-06,OLOT,20744000,,1632.5,2091.4,457.14,,,,,,,,,16839,0,,false,
DOLO-2020-07-13,OLOT,3159600,,7090.6,5911.5,342.86,,,,,,,,,17244,5,,false,
DOLO-2020-07-20,OLOT,34070,9754.8,71289,4558.8,,,,,,,,,,15254,0,,false,
DOLO-2020-07-28,OLOT,388720,718.58,1938.7,300,,,,,,,,,,,,,false,
DOLO-2020-08-03,OLOT,19891000,1334.9,3144.4,3725.8,,,,,,,,,,15679,0,,false,
DOLO-2020-08-10,OLOT,17967000,964.29,19900,14468,,,,,,,,,,14482,0,,false,
DOLO-2020-08-17,OLOT,24512000,3034,10910,964.29,,,,,,,,,,14575,0.2,,false,
DOLO-2020-08-24,OLOT,7700000,535.71,4560.9,57791,,,,,,,,,,14268,0,,true,
DOLO-2020-08-31,OLOT,5068200,321.43,321.43,6294.2,,,,,,,,,,15421,0,,false,
DOLO-2020-09-08,OLOT,32754000,407.14,4974.8,407.14,,,,,,,,,,,,,true,
DOLO-2020-09-14,OLOT,5703900,1291,904.05,50021,,,,,,,,,,15492,0,,false,
DOLO-2020-09-21,OLOT,28287000,9770.4,7292.1,119630,,,,,,,,,,17418,30,,false,
DOLO-2020-09-28,OLOT,7290500,8239.5,3612.2,,,,,,,,,,,14833,0,,false,
DOLO-2020-10-05,OLOT,2555900,26321,23346,,,,,,,,,,,15451,0,,false,
DOLO-2020-10-12,OLOT,2706900,5314.9,5138.4,8572.6,,,,,,,,,,13860,0,,false,
DPAM-2020-07-13,PALAMÓS,3874700,,400,3478.8,400,,,,,,,,,18943,0,,false,
DPAM-2020-07-28,PALAMÓS,200930,192.86,192.86,2442.9,,,,,,,,,,,,,false,
DPAM-2020-08-10,PALAMÓS,8988700,375,4155.2,1345.1,,,,,,,,,,23558,0,,true,
DPAM-2020-08-24,PALAMÓS,8200200,321.43,5940.1,32369,,,,,,,,,,20431,0,,true,
DPAM-2020-09-07,PALAMÓS,19604000,755.94,8722.6,257.14,,,,,,,,,,18499,0,,false,
DPAM-2020-09-21,PALAMÓS,25983000,708.53,428.57,29310,,,,,,,,,,14708,0,,true,
DPAM-2020-10-05,PALAMÓS,813970,9909.4,2276.6,,,,,,,,,,,13964,0,,false,
DPDL-2020-07-06,PRAT_DE_LLOBREGAT_EL,,,100,,100,,,,,100,,,4397100,227360,0,,false,
DPDL-2020-07-13,PRAT_DE_LLOBREGAT_EL,,,3233.5,,148.15,,,,,165.85,148.15,148.15,,213456,0.5,,false,
DPDL-2020-07-20,PRAT_DE_LLOBREGAT_EL,,,10293,,148.15,,,,16488,2244.3,,,,233112,0,,false,
DPDL-2020-07-27,PRAT_DE_LLOBREGAT_EL,,,16479,,148.15,,,,132740,23135,,,,226127,0,,false,
DPDL-2020-08-03,PRAT_DE_LLOBREGAT_EL,,,606.21,,,,,,1093.6,148.15,,,,242497,0,,false,
DPDL-2020-08-10,PRAT_DE_LLOBREGAT_EL,,,30006,,,,,,9451.9,186.21,,,,198944,0,,false,
DPDL-2020-08-17,PRAT_DE_LLOBREGAT_EL,,,148.15,,,,,,5126.3,227790,,,,212168,0,,false,
DPDL-2020-08-24,PRAT_DE_LLOBREGAT_EL,,,425740,,,,,,3713800,697870,,,,193632,0,Canvi metodològic,false,
DPDL-2020-08-31,PRAT_DE_LLOBREGAT_EL,,,432660,,,,,,1832500,394880,,,,194551,0,,false,
DPDL-2020-09-07,PRAT_DE_LLOBREGAT_EL,,,378670,,,,,,2051400,646190,,,,249858.28,0,,false,
DPDL-2020-09-14,PRAT_DE_LLOBREGAT_EL,,,490050,,,,,,942340,555580,,,,227665.85,0,,false,
DPDL-2020-09-21,PRAT_DE_LLOBREGAT_EL,,,805420,,,,,,1234300,523790,,,,288481,0,,false,
DPDL-2020-09-28,PRAT_DE_LLOBREGAT_EL,,,324450,,,,,,562870,55254,,,,216423,0,,false,
DPDL-2020-10-05,PRAT_DE_LLOBREGAT_EL,,,719080,,,,,,915790,161220,,,,216000,0,,false,
DPDL-2020-10-12,PRAT_DE_LLOBREGAT_EL,,,1026600,,,,,,2203200,96372,,,,231869,0,,false,
DPSU-2020-07-13,PONT_DE_SUERT_EL,81815000,,2249.1,,2183.4,,,,,,,,,940,17.2,,false,
DPSU-2020-07-27,PONT_DE_SUERT_EL,139140000,,62226,,450,,,,,,,,,976,0,,false,
DPSU-2020-08-10,PONT_DE_SUERT_EL,563660000,300,300,,,,,,,,,,,1088,0.5,,false,
DPSU-2020-08-25,PONT_DE_SUERT_EL,450,450,450,,450,,,,,,,,,,,,false,
DPSU-2020-09-07,PONT_DE_SUERT_EL,36940000,178.57,178.57,,,178.57,178.57,,,,,,,1008,0,Canvi Metodològic,false,
DPSU-2020-09-21,PONT_DE_SUERT_EL,6077100,142.86,142.86,,,,,,,,,,,1126,10.8,,false,
DPSU-2020-10-05,PONT_DE_SUERT_EL,573920000,4634.5,171.43,,,,,,,,,,,928,0,,false,
DPUI-2020-07-06,PUIGCERDÀ,,,148.15,,148.15,,,,7682200,148.15,,,,9134,0,,false,
DPUI-2020-07-13,PUIGCERDÀ,,,241.37,,148.15,,,,148.15,148.15,,,,9814,5.3,,true,
DPUI-2020-07-20,PUIGCERDÀ,,,148.15,,148.15,,,,4182.2,148.15,,,,11502,2.4,,false,
DPUI-2020-07-27,PUIGCERDÀ,,,439.7,,148.15,,,,27361,19063,,,,9990,0,,false,
DPUI-2020-08-03,PUIGCERDÀ,,,606.21,,,,,,4787.1,148.15,,,,8228,0,Valor Puntual,false,
DPUI-2020-08-10,PUIGCERDÀ,,,2394.4,,,,,,48529,1612.2,,,,12203,0.1,,false,
DPUI-2020-08-17,PUIGCERDÀ,,,3442.4,,,,,,9738.4,2122.4,,,,9739,0,,true,
DPUI-2020-08-24,PUIGCERDÀ,,,141560,,,,,,743580,116870,,,,8659,0,Canvi metodològic,false,
DPUI-2020-08-31,PUIGCERDÀ,,,264850,,,,,,2576100,867630,,,,12768,0.1,,false,
DPUI-2020-09-07,PUIGCERDÀ,,,2100400,,,,,,2717500,559780,,,,,,,false,
DPUI-2020-09-14,PUIGCERDÀ,,,866530,,,,,,1046000,297120,,,,7780,0,,false,
DPUI-2020-09-21,PUIGCERDÀ,,,1755000,,,,,,974760,340510,,,,9263,3.4,,false,
DPUI-2020-09-28,PUIGCERDÀ,,,1163000,,,,,,1154400,232830,,,,7219,0,,false,
DPUI-2020-10-05,PUIGCERDÀ,,,811010,,,,,,1260300,66309,,,,5986,0,,false,
DPUI-2020-10-12,PUIGCERDÀ,,,1185900,,,,,,961960,469020,,,,6811,0.2,,false,
DRIP-2020-07-06,RIPOLL,20744000,,457.14,2887.4,457.14,,,,,,,,,6681,0,,false,
DRIP-2020-07-13,RIPOLL,6601300,,10891,7290.8,257.14,,,,,,,,,8802,10,,false,
DRIP-2020-07-20,RIPOLL,44011,451.47,6422,3462,,,,,,,,,,6316,0,,false,
DRIP-2020-07-28,RIPOLL,242960,8148.2,4821.7,7658.3,,,,,,,,,,,,,false,
DRIP-2020-08-03,RIPOLL,86559000,285.71,17236,285.71,,,,,,,,,,6006,0,,true,
DRIP-2020-08-10,RIPOLL,7803700,5480.1,5656.2,6002.2,,,,,,,,,,5694,0,,false,
DRIP-2020-08-17,RIPOLL,32843000,407.14,407.14,7815.3,,,,,,,,,,5601,0,,false,
DRIP-2020-08-24,RIPOLL,5874400,421.62,213.6,15897,,,,,,,,,,5755,0,,false,
DRIP-2020-08-31,RIPOLL,11017000,6434.7,8801.9,321.43,,,,,,,,,,9686,0,,false,
DRIP-2020-09-07,RIPOLL,7344300,6374.7,11988,303.74,,,,,,,,,,6965,0,,false,
DRIP-2020-09-14,RIPOLL,7200600,2526.5,2370.1,49833,,,,,,,,,,6477,0,,false,
DRIP-2020-09-21,RIPOLL,31721000,470.33,1022.5,20956,,,,,,,,,,10775,10,,false,
DRIP-2020-09-28,RIPOLL,8016000,1649.3,1042.8,,,,,,,,,,,6009,0,,false,
DRIP-2020-10-05,RIPOLL,3750200,1122.6,3587.5,,,,,,,,,,,6870,0,,false,
DRIP-2020-10-12,RIPOLL,2485900,5819.7,8988.8,10017,,,,,,,,,,6744,0,,false,
DRSS-2020-07-06,ROSES,,,100,,100,,,,,100,,,100,8385,0,,false,
DRSS-2020-07-20,ROSES,,,417.9,,148.15,,,,21827,291.5,,,,9754,0,,false,
DRSS-2020-08-03,ROSES,,,148.15,,,,,,1800,148.15,,,,9750,0,,false,
DRSS-2020-08-17,ROSES,,,1260.1,,,,,,4279.2,81577,,,,10483,0,,false,
DRSS-2020-08-31,ROSES,,,50676,,,,,,1555700,61446,,,,7997,0,,false,
DRSS-2020-09-14,ROSES,,,31883,,,,,,237630,25989,,,,7233,0,,false,
DRSS-2020-09-28,ROSES,,,216530,,,,,,696400,53155,,,,,,,false,
DRUB-2020-07-06,RUBÍ,,,148.15,,148.15,,,,34762000000,148.15,,,,26536,0,,false,
DRUB-2020-07-13,RUBÍ,,,148.15,,148.15,,,,,148.15,148.15,148.15,,25278,2,,false,
DRUB-2020-07-20,RUBÍ,,,695.86,,148.15,,,,12838,1045.8,,,,22360,0,,false,
DRUB-2020-07-27,RUBÍ,,,148.15,,148.15,,,,9651.1,263.96,,,,25134,0,,true,
DRUB-2020-08-03,RUBÍ,,,7790.8,,,,,,2986.3,972.37,,,,254780,0,,false,
DRUB-2020-08-10,RUBÍ,,,805.78,,,,,,4662.5,166.7,,,,21126,0,,false,
DRUB-2020-08-17,RUBÍ,,,13380,,,,,,3567.6,29168,,,,23398,0,,false,
DRUB-2020-08-24,RUBÍ,,,23383,,,,,,297900,5302.9,,,,22874,0,Canvi metodològic,false,
DRUB-2020-08-31,RUBÍ,,,241730,,,,,,1455200,1302300,,,,26204,0,,false,
DRUB-2020-09-07,RUBÍ,,,518060,,,,,,1153400,660620,,,,27426,15,,false,
DRUB-2020-09-14,RUBÍ,,,1077100,,,,,,906420,144890,,,,25476,0,,false,
DRUB-2020-09-21,RUBÍ,,,2974300,,,,,,1206900,362540,,,,26374,2,,false,
DRUB-2020-09-28,RUBÍ,,,965110,,,,,,1995200,338150,,,,21164,0,,false,
DRUB-2020-10-05,RUBÍ,,,789610,,,,,,1413000,106720,,,,25780,0,,false,
DRUB-2020-10-12,RUBÍ,,,1081800,,,,,,1770300,111800,,,,22370,0,,false,
DRUS-2020-07-06,REUS,12839000,,450,,450,,,,,,,,,17540,0,,false,
DRUS-2020-07-13,REUS,4928700,,450,,450,,,,,,,,,18376,0,,false,
DRUS-2020-07-20,REUS,195310000,,420,,420,,,,,,,,,18018,0,,false,
DRUS-2020-07-27,REUS,1101000,,450,,450,,,,,,,,,18228,0,,false,
DRUS-2020-08-03,REUS,607490000,360,8810,,,,,,,,,,,14980,0,Valor Puntual,false,
DRUS-2020-08-10,REUS,50992000,300,3081.8,,,,,,,,,,,18643,0,,false,
DRUS-2020-08-17,REUS,,360,21836,,360,,,92505000,,,,,,18037,0,Valor Puntual,false,
DRUS-2020-08-25,REUS,450,450,5655.9,,450,,,,,,,,,,,,false,
DRUS-2020-08-31,REUS,428.57,232980,58907,,,,,,,,,,,16655,0,Canvi metodològic,true,
DRUS-2020-09-07,REUS,39283000,357.14,11117,,,357.14,357.14,,,,,,,17086,0,,false,
DRUS-2020-09-14,REUS,14932000,1306.6,2999.1,,,,,,,,,,,17831,0,,false,
DRUS-2020-09-21,REUS,4454300,142.86,22419,,,,,,,,,,,17069,0,,false,
DRUS-2020-09-28,REUS,3876100,171.43,3837.9,,,,,,,,,,,15450,0,,false,
DRUS-2020-10-05,REUS,123310000,16712,150810,,,,,,,,,,,15781,0,,false,
DRUS-2020-10-12,REUS,25146000,41908,19205,,,,,,,,,,,14988,0,,false,
DSFL-2020-07-06,SANT_FELIU_DE_LLOBREGAT,17167000,,457.14,25596,457.14,,,,,,,,,56568,0,,false,
DSFL-2020-07-13,SANT_FELIU_DE_LLOBREGAT,7724500,,3237.9,16569,703.3,,,,,,,,,53044,0,,true,
DSFL-2020-07-20,SANT_FELIU_DE_LLOBREGAT,4408,271.43,271.43,1104.1,,,,,,,,,,52954,0,,false,
DSFL-2020-07-28,SANT_FELIU_DE_LLOBREGAT,87467,4039.3,11002,4101.7,,,,,,,,,,,,,false,
DSFL-2020-08-03,SANT_FELIU_DE_LLOBREGAT,34827000,20546,20079,4844.1,,,,,,,,,,50046,0,,false,
DSFL-2020-08-10,SANT_FELIU_DE_LLOBREGAT,3811000,11188,20352,3093.2,,,,,,,,,,39379,0,,false,
DSFL-2020-08-17,SANT_FELIU_DE_LLOBREGAT,90254000,137850,246770,6826.7,,,,,,,,,,41058,0,,false,
DSFL-2020-08-24,SANT_FELIU_DE_LLOBREGAT,13088000,4078.2,26911,27098,,,,,,,,,,44340,0,,false,
DSFL-2020-08-31,SANT_FELIU_DE_LLOBREGAT,13994000,27007,16970,595.13,,,,,,,,,,54839,0,,false,
DSFL-2020-09-07,SANT_FELIU_DE_LLOBREGAT,8796100,3437.4,7718.4,2752.6,,,,,,,,,,56568,0,,false,
DSFL-2020-09-14,SANT_FELIU_DE_LLOBREGAT,4944000,614.61,485.39,63706,,,,,,,,,,56099,0,,false,
DSFL-2020-09-21,SANT_FELIU_DE_LLOBREGAT,22235000,2742.2,3363.9,33046,,,,,,,,,,62573,0,,false,
DSFL-2020-09-28,SANT_FELIU_DE_LLOBREGAT,9259200,8059,5919.5,,,,,,,,,,,53120,0,,false,
DSFL-2020-10-05,SANT_FELIU_DE_LLOBREGAT,4098700,11717,4618.5,,,,,,,,,,,,,,false,
DSFL-2020-10-12,SANT_FELIU_DE_LLOBREGAT,3885300,17861,42597,58673,,,,,,,,,,,,,false,
DSLL-2020-07-06,SALLENT/ARTÉS,14024000,,489.8,39186,489.8,,,,,,,,,2835,0,,false,
DSLL-2020-07-13,SALLENT/ARTÉS,1423600,,500,13646,500,,,,,,,,,2341,25,,false,
DSLL-2020-07-20,SALLENT/ARTÉS,61222,371.43,4001.4,3949.1,,,,,,,,,,2679,0,,false,
DSLL-2020-07-28,SALLENT/ARTÉS,28915,526.33,182.14,228.48,,,,,,,,,,,,,false,
DSLL-2020-08-03,SALLENT/ARTÉS,13456000,60061,41724,76110,,,,,,,,,,2181,0,,false,
DSLL-2020-08-10,SALLENT/ARTÉS,11610000,214.29,1413.7,1067.6,,,,,,,,,,2059,0,,true,
DSLL-2020-08-17,SALLENT/ARTÉS,35594000,18074,15563,964.29,,,,,,,,,,2088,0,,false,
DSLL-2020-08-24,SALLENT/ARTÉS,14288000,6232.1,22073,12395,,,,,,,,,,2003,0,,false,
DSLL-2020-08-31,SALLENT/ARTÉS,11960000,407.14,4681.3,149240,,,,,,,,,,2813,0,,false,
DSLL-2020-09-07,SALLENT/ARTÉS,9442200,6166.8,33976,6708.3,,,,,,,,,,2573,0.4,,false,
DSLL-2020-09-14,SALLENT/ARTÉS,1971300,804.59,2083.6,26967,,,,,,,,,,2336,,,false,
DSLL-2020-09-21,SALLENT/ARTÉS,24403000,4116.2,1991.5,14052,,,,,,,,,,3203,15,,false,
DSLL-2020-09-28,SALLENT/ARTÉS,7621700,279.43,2576.1,,,,,,,,,,,2432,,,false,
DSLL-2020-10-05,SALLENT/ARTÉS,898370,1155.7,192.86,,,,,,,,,,,,,,true,
DSLL-2020-10-12,SALLENT/ARTÉS,540800,235.71,235.71,16542,,,,,,,,,,,,,false,
DSOL-2020-07-06,SOLSONA,89792000,,7073.3,,450,,,,,,,,,2645,0,,false,
DSOL-2020-07-13,SOLSONA,41474000,,450,,450,,,,,,,,,2543,0,,false,
DSOL-2020-07-20,SOLSONA,5650900,,450,,450,,,,,,,,,2419,0,,false,
DSOL-2020-07-27,SOLSONA,5211700,,450,,450,,,,,,,,,2375,0,,false,
DSOL-2020-08-03,SOLSONA,753930000,300,300,,,,,,,,,,,2097,0,,false,
DSOL-2020-08-10,SOLSONA,682410000,300,300,,,,,,,,,,,2490,0,,false,
