id mostra,depuradora,N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DABR-2021-11-29,ABRERA,111188,,18199,,15740,0,,false
DABR-2021-12-06,ABRERA,320804,,278467,,,,,false
DABR-2021-12-13,ABRERA,622934,,200285,,15501,0,,false
DABR-2021-12-20,ABRERA,859212,,422218,,14790,0,,false
DABR-2021-12-27,ABRERA,2344061,,3011909,,15676,0,,false
DABR-2022-01-03,ABRERA,1107491,,463029,,15430,0,,false
DABR-2022-01-10,ABRERA,2085361,,1779292,,13690,2,,false
DABR-2022-01-17,ABRERA,1491498,,2024499,,16040,0,,false
DABR-2022-01-24,ABRERA,1610999,,1764691,,15674,0,,false
DABR-2022-01-31,ABRERA,671280,,474625,,15592,0,,false
DABR-2022-02-07,ABRERA,548582,,173733,,15162,0,,false
DABR-2022-02-14,ABRERA,394088,,49267,,14362,0,,false
DABR-2022-02-21,ABRERA,228730,,177506,,15608,0,,false
DABR-2022-02-28,ABRERA,389134,,96059,,15601,0,,false
DABR-2022-03-07,ABRERA,355903,,46491,,15656,0,,false
DABR-2022-03-14,ABRERA,359758,,149666,,17226,1,,false
DABR-2022-03-21,ABRERA,448306,,256310,,18459,2,,false
DABR-2022-03-28,ABRERA,323402,,239751,,15160,0,,false
DABR-2022-04-04,ABRERA,869673,,444353,,15110,0,,false
DABR-2022-04-11,ABRERA,677224,,999058,,14870,0,,false
DABR-2022-04-19,ABRERA,775430,,245646,,16780,3,,false
DABR-2022-04-25,ABRERA,557903,,419413,,17500,0,,false
DABR-2022-05-02,ABRERA,346151,,322333,,16540,3,,false
DABR-2022-05-09,ABRERA,822812,,705367,,15560,0,,false
DABR-2022-05-16,ABRERA,617398,,496267,,15690,0,,false
DABR-2022-05-23,ABRERA,343199,,158893,,15200,0,,false
DABR-2022-05-30,ABRERA,249317,,86313,,14490,0,,false
DABR-2022-06-06,ABRERA,409665,,109219,,,,,false
DABR-2022-06-13,ABRERA,207200,,8373,,14830,0,,false
DABR-2022-06-20,ABRERA,507379,,91874,,17160,0,,false
DABR-2022-06-27,ABRERA,1466565,,35534,,13980,0,,false
DABR-2022-07-04,ABRERA,1045361,,447658,,12640,0,,false
DABR-2022-07-11,ABRERA,1131754,,107685,,15906,0,,false
DABR-2022-07-18,ABRERA,564878,,296170,,14990,0,,false
DABR-2022-07-25,ABRERA,365520,,10267,,15120,0,,false
DABR-2022-08-08,ABRERA,507497,,20565,,12060,0,,false
DABR-2022-08-22,ABRERA,164486,,19044,,12820,0,,false
DABR-2022-09-05,ABRERA,372961,,58014,,13750,0,,false
DABR-2022-09-12,ABRERA,205325,,1949,,15180,0,,false
DABR-2022-09-19,ABRERA,1051062,,65885,,13540,0,,false
DABR-2022-09-26,ABRERA,423397,,22253,,14060,0,,false
DABR-2022-10-03,ABRERA,447160,,276130,,14060,0,,false
DAIT-2021-05-03,AITONA,267,267,,,350,0,,false
DAIT-2021-05-10,AITONA,200,200,,,256,0,,false
DAIT-2021-05-17,AITONA,220,220,,,347,0,,false
DAIT-2021-05-24,AITONA,5153,5888,,,349,0,,false
DAIT-2021-05-31,AITONA,300,300,,,360,0,,false
DAIT-2021-06-07,AITONA,245,542,,,320,0,,false
DAIT-2021-06-14,AITONA,200,200,,,284,0,,false
DAIT-2021-06-21,AITONA,200,200,,,378,0,,false
DAIT-2021-06-28,AITONA,200,200,,,343,0,,false
DAIT-2021-07-05,AITONA,200,200,,,358,0,,false
DAIT-2021-07-12,AITONA,400,8045,,,382,0,Canvi metodològic,true
DAIT-2021-07-19,AITONA,58357,1747,,,343,0,,false
DAIT-2021-07-26,AITONA,38424,19315,,,366,0,,false
