id mostra,depuradora,LD(CG/L),N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DABR-2021-01-25,ABRERA,833,1026536,,1378423,,16776,0,,false
DABR-2021-02-01,ABRERA,667,599957,,256027,,16606,0,,false
DABR-2021-02-08,ABRERA,667,708935,,440703,,17869,2.4,,false
DABR-2021-02-15,ABRERA,833,1269405,,343830,,15597,0,,false
DABR-2021-02-22,ABRERA,833,1858893,,1248574,,30480,17,,false
DABR-2021-03-01,ABRERA,767,593588,,120351,,14481,0,,false
DABR-2021-03-08,ABRERA,833,380381,,44122,,20563,5,,false
DABR-2021-03-15,ABRERA,833,220717,,73267,,16056,0,Repetida dues vegades,false
DABR-2021-03-22,ABRERA,1833,202558,,37273,,15838,0,,false
DABR-2021-03-29,ABRERA,667,313808,,943,,16424,0,,false
DABR-2021-04-05,ABRERA,833,148675,,,,13388,0,,false
DABR-2021-04-05,ABRERA,1667,,,395288,,13388,0,,false
DABR-2021-04-12,ABRERA,833,131757,,1365,,17887,0,,false
DABR-2021-04-19,ABRERA,767,216972,,15145,,16716,0,,false
DABR-2021-04-26,ABRERA,767,522994,,131859,,22050,7,,false
DABR-2021-05-03,ABRERA,733,336993,,395301,,17718,0,,false
DABR-2021-05-10,ABRERA,833,36133,,3839,,18150,1,,false
DABR-2021-05-17,ABRERA,800,61209,,1565,,15657,0,,false
DABR-2021-05-24,ABRERA,833,129278,,2309,,16590,0,,false
DABR-2021-05-31,ABRERA,833,34976,,38646,,16117,0,,false
DABR-2021-06-07,ABRERA,767,106752,,5442,,15333,0,,false
DABR-2021-06-14,ABRERA,767,10723,,1164,,16168,0,,false
DABR-2021-06-21,ABRERA,867,9804,,867,,17173,0,,false
DABR-2021-06-28,ABRERA,1800,152121,,1800,,16988,0,Repetició des d'inici,false
DABR-2021-07-05,ABRERA,1333,271784,,1333,,17025,0,,false
DABR-2021-07-12,ABRERA,1467,463348,,25521,,17090,0,,false
DABR-2021-07-19,ABRERA,3333,354194,,118221,,16210,0,,false
DABR-2021-07-26,ABRERA,1467,203021,,22218,,15751,0,,false
DABR-2021-08-02,ABRERA,1333,178061,,18290,,13940,0,,false
DABR-2021-08-09,ABRERA,1400,292938,,95552,,13952,0,,false
DABR-2021-08-16,ABRERA,1600,230781,,82954,,13657,0,,false
DABR-2021-08-23,ABRERA,1533,71908,,27268,,15999,4.6,,false
DABR-2021-08-30,ABRERA,1600,113490,,89692,,14770,1.6,,false
DABR-2021-09-06,ABRERA,1867,29140,,3402,,15693,0,,false
DABR-2021-09-13,ABRERA,1533,31391,,15333,,15499,0,,false
DABR-2021-09-20,ABRERA,1533,90979,,44633,,15971,0,,false
DABR-2021-09-27,ABRERA,2000,26162,,85052,,15650,0,,false
DABR-2021-10-04,ABRERA,1667,84043,,26638,,19279,9,,false
DABR-2021-10-13,ABRERA,1600,16806,,34031,,15670,0,,false
DABR-2021-10-18,ABRERA,1800,23847,,2617,,16269,0,,false
DABR-2021-10-25,ABRERA,933,5768,,2388,,14712,0,,false
DABR-2021-11-01,ABRERA,1800,204595,,54807,,,,,false
DABR-2021-11-08,ABRERA,1933,143917,,64925,,15211,0,,false
DABR-2021-11-15,ABRERA,1867,485795,,285195,,15340,0.4,,false
DABR-2021-11-22,ABRERA,1867,467431,,552152,,15733,0,,false
DABR-2021-11-29,ABRERA,1800,111188,,18199,,15740,0,,false
DABR-2021-12-06,ABRERA,1600,320804,,278467,,,,,false
DABR-2021-12-13,ABRERA,1667,622934,,200285,,15501,0,,false
DABR-2021-12-20,ABRERA,1867,859212,,422218,,14790,0,,false
DABR-2021-12-27,ABRERA,1867,2344061,,3011909,,15676,0,,false
DABR-2022-01-03,ABRERA,1533,1107491,,463029,,15430,0,,false
DABR-2022-01-10,ABRERA,1867,2085361,,1779292,,13690,2,,false
DABR-2022-01-17,ABRERA,1933,1491498,,2024499,,16040,0,,false
DABR-2022-01-24,ABRERA,1733,1610999,,1764691,,15674,0,,false
DABR-2022-01-31,ABRERA,1933,671280,,474625,,15592,0,,false
DABR-2022-02-07,ABRERA,1867,548582,,173733,,15162,0,,false
DABR-2022-02-14,ABRERA,2267,394088,,49267,,14362,0,,false
DABR-2022-02-21,ABRERA,2000,228730,,177506,,15608,0,,false
DAIT-2021-05-03,AITONA,267,267,267,,,350,0,,false
DAIT-2021-05-10,AITONA,200,200,200,,,256,0,,false
DAIT-2021-05-17,AITONA,220,220,220,,,347,0,,false
DAIT-2021-05-24,AITONA,200,5153,5888,,,349,0,,false
DAIT-2021-05-31,AITONA,300,300,300,,,360,0,,false
DAIT-2021-06-07,AITONA,200,245,542,,,320,0,,false
DAIT-2021-06-14,AITONA,200,200,200,,,284,0,,false
DAIT-2021-06-21,AITONA,200,200,200,,,378,0,,false
DAIT-2021-06-28,AITONA,200,200,200,,,343,0,,false
DAIT-2021-07-05,AITONA,200,200,200,,,358,0,,false
DAIT-2021-07-12,AITONA,400,400,8045,,,382,0,Canvi metodològic,true
DAIT-2021-07-19,AITONA,280,58357,1747,,,343,0,,false
DAIT-2021-07-26,AITONA,461,38424,19315,,,366,0,,false
DAIT-2021-08-02,AITONA,232,8577,643,,,325,0,,false
DAIT-2021-08-09,AITONA,1040,294894,73814,,,337,0,,false
DAIT-2021-08-16,AITONA,280,38340,30557,,,276,0,,false
DAIT-2021-08-23,AITONA,296,111366,20345,,,286,0,,false
DAIT-2021-08-30,AITONA,304,39362,2274,,,302,0,,false
DALC-2021-05-03,ALCARRÀS,420,64788,9858,,,543,0,,false
DALC-2021-05-10,ALCARRÀS,200,15585,4598,,,526,0,,false
DALC-2021-05-17,ALCARRÀS,400,1475,10933,,,504,0,,false
DALC-2021-05-24,ALCARRÀS,256,256,847,,,486,0,,false
DALC-2021-05-31,ALCARRÀS,565,565,565,,,487,0,,false
DALC-2021-06-07,ALCARRÀS,200,200,200,,,531,0,,false
DALC-2021-06-14,ALCARRÀS,200,200,6066,,,479,0,,false
DALC-2021-06-21,ALCARRÀS,200,200,200,,,489,0,,false
DALC-2021-06-28,ALCARRÀS,200,200,200,,,575,0,,false
DALC-2021-07-05,ALCARRÀS,208,29079,683,,,484,0,,false
DALC-2021-07-12,ALCARRÀS,400,89120,45178,,,605,0,Canvi metodològic,false
DALC-2021-07-19,ALCARRÀS,368,10041,368,,,534,0,,false
DALC-2021-07-26,ALCARRÀS,331,9910,6334,,,682,0,,false
DALC-2021-08-02,ALCARRÀS,288,650,593,,,609,0,,false
DALC-2021-08-09,ALCARRÀS,307,181932,136730,,,585,0,,false
DALC-2021-08-16,ALCARRÀS,320,8657,11937,,,594,0,,false
DALC-2021-08-23,ALCARRÀS,816,892716,187742,,,546,0,,false
DALC-2021-08-30,ALCARRÀS,328,3203,631,,,556,0,,false
DAMP-2020-07-06,AMPOSTA,450,450,,,450,8918,0,,false
DAMP-2020-07-13,AMPOSTA,450,450,,,450,7616,0,,false
DAMP-2020-07-20,AMPOSTA,420,420,,,420,6264,0,,false
